location_id;location_name;demand_charge;suggested_kwp;original_peak_no_pv;optimized_peak_no_pv;reduction_no_pv;savings_no_pv;original_peak_pv;optimized_peak_pv;reduction_pv;savings_pv;warning_no_pv;warning_pv;file_path
83420;"1404 Alloheim Senioren-Residenz ""Sophienresidenz""";18.89;250;35.1;19.1;16.0;302.24;3.069.554.645.494.110;14.695.546.454.941.100;16.0;302.24;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1404 Alloheim Senioren-Residenz _Sophienresidenz_.xlsx
82948;1411 Seniorenresidenz Mülheim Friedrich-Ebert-Str;78.46;110;1872.44;1772.44;100.0;7.845.999.999.999.990;18.724.375.503.152.600;17.724.375.503.152.600;100.0;7.845.999.999.999.990;;;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1411 Seniorenresidenz Mülheim Friedrich-Ebert-Str.xlsx
82927;"1412 Alloheim Senioren-Residenz ""An der Schillerhöhe""";65.95;190;99.2;3.634.526.315.789.460;6.285.473.684.210.530;4.145.269.894.736.840;9.649.746.107.349.540;27.497.461.073.495.400;69.0;4550.55;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1412 Alloheim Senioren-Residenz _An der Schillerhöhe_.xlsx
85570;"1418 Alloheim Senioren-Residenz ""Meißen an der Elbe""";103.46;120;59.6;18.6;41.0;4241.86;5.453.966.496.458.820;16.539.664.964.588.200;38.0;39.314.799.999.999.900;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1418 Alloheim Senioren-Residenz _Meißen an der Elbe_.xlsx
82873;"1419 Alloheim Senioren-Residenz ""Am Sieberdamm""";222.13;200;63.5;25.5;38.0;8440.94;63.496.436.309.592.800;22.496.436.309.592.800;41.0;9107.33;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1419 Alloheim Senioren-Residenz _Am Sieberdamm_.xlsx
82836;"1421 Alloheim Senioren-Residenz ""An der alten Färberei""";65.95;155;60.9;16.9;44.0;2901.8;58.935.732.933.693.900;7.935.732.933.693.950;51.0;33.634.500.000.000.000;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1421 Alloheim Senioren-Residenz _An der alten Färberei_.xlsx
83186;"1422 Alloheim Senioren-Residenz ""Am Beckerturm""";169.47;140;62.78;21.78;41.0;69.482.699.999.999.900;5.984.141.676.579.050;15.841.416.765.790.500;44.0;7456.68;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1422 Alloheim Senioren-Residenz _Am Beckerturm_.xlsx
85091;1452 Itertalklinik Seniorenzentrum Kornelimünster;140.32;170;59.18;27.18;32.0;4490.24;5.059.788.262.277.020;2.359.788.262.277.020;27.0;3788.64;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1452 Itertalklinik Seniorenzentrum Kornelimünster.xlsx
82949;1453 Itertalklinik-Seniorenzentrum Roetgen II;78.46;137;46.86;16.86;30.0;23.537.999.999.999.900;3.680.489.862.179.110;13.804.898.621.791.100;23.0;1804.58;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1453 Itertalklinik-Seniorenzentrum Roetgen II.xlsx
83669;1454 Itertalklinik Seniorenzentrum Breinig ;22.15;0;69.832;23.831.999.999.999.900;46.0;1018.9;69.832;23.831.999.999.999.900;46.0;1018.9;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1454 Itertalklinik Seniorenzentrum Breinig .xlsx
84180;1455 Itertalklinik Seniorenzentrum Stolberg Mitte;0.0;240;45.08;20.08;25.0;0.0;4.241.465.419.801.660;1.641.465.419.801.660;26.0;0.0;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1455 Itertalklinik Seniorenzentrum Stolberg Mitte.xlsx
83668;1456 Itertalklinik Seniorenzentrum Simmerath;140.32;375;81.64;29.64;52.0;7.296.639.999.999.990;7.579.027.817.197.010;22.790.278.171.970.100;53.0;7436.96;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;⚠️ Warnung: Das volle Potenzial der Batterie konnte aufgrund der Lastprofilcharakteristiken nicht erreicht werden.;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1456 Itertalklinik Seniorenzentrum Simmerath.xlsx
84904;"1501 Alloheim Senioren-Residenz ""Philosophenweg""";54.62;170;150.0;50.0;100.0;5462.0;1.499.426.232.418.990;499.426.232.418.991;100.0;5462.0;;;c:\Users\mgr\battery-dashboard-v3\Alloheim_overview\data\18859_1501 Alloheim Senioren-Residenz _Philosophenweg_.xlsx
